epoch,train_loss,val_loss,train_acc,val_acc
1,1093.2841280698776,137.92963099479675,0.51574,0.6426
2,566.5814845561981,103.61628121137619,0.67144,0.6754
3,462.6050322651863,92.57548022270203,0.69878,0.6956
4,416.9419128894806,86.92885613441467,0.71592,0.7054
5,388.8918225169182,83.31108701229095,0.72952,0.7102
6,368.92280650138855,80.95670872926712,0.74,0.7149
7,354.17788976430893,79.25912207365036,0.7475,0.716
8,340.98572874069214,77.94991719722748,0.75584,0.7193
9,330.93352913856506,76.84826803207397,0.76134,0.7216
10,321.5888298153877,75.96772706508636,0.76592,0.7245
