epoch,train_loss,val_loss,train_acc,val_acc,lora_grad_norm
1,3.364049701739455,2.651012880786969,0.31234,0.4883,68.3636146992762
2,2.3093498649499606,2.070655060421889,0.56572,0.6134,93.99806866169742
3,1.8760434855585513,1.7509375514498182,0.66328,0.6807,150.93508636299583
4,1.6088661086528808,1.5510749535955441,0.72124,0.715,196.91594160758575
5,1.428746128326182,1.4134579729882015,0.75456,0.7435,194.03002499621414
6,1.297318256114755,1.3208888602104916,0.7784,0.7593,365.46618749646495
7,1.196292147916906,1.2506327329167894,0.7975,0.7642,378.4061043723132
8,1.1137030667356214,1.1862272434173875,0.81246,0.7813,inf
9,1.046089755299756,1.1397744637386056,0.82474,0.7879,186.48511767963063
10,0.9908414167516372,1.10333669982898,0.83504,0.7926,268.5966679025756
